qid,baseline,run,k,overlap_at_k,jaccard_at_k,intersect_size,union_size,baseline_len,run_len
Q005,stable_baseline,stable_tau_child_low,20,1.0,1.0,20,20,24,24
Q006,stable_baseline,stable_tau_child_low,20,1.0,1.0,20,20,24,24
Q007,stable_baseline,stable_tau_child_low,20,0.85,1.0,17,17,27,27
Q008,stable_baseline,stable_tau_child_low,20,0.95,1.0,19,19,27,27
Q009,stable_baseline,stable_tau_child_low,20,0.9,1.0,18,18,29,29
Q010,stable_baseline,stable_tau_child_low,20,0.95,1.0,19,19,25,25
Q001,stable_baseline,stable_tau_local_high,20,0.85,0.8947368421052632,17,19,26,25
Q002,stable_baseline,stable_tau_local_high,20,0.9,1.0,18,18,25,25
Q003,stable_baseline,stable_tau_local_high,20,0.95,1.0,19,19,28,28
Q004,stable_baseline,stable_tau_local_high,20,0.25,0.25,5,20,24,5
Q005,stable_baseline,stable_tau_local_high,20,0.95,0.9047619047619048,19,21,24,23
Q006,stable_baseline,stable_tau_local_high,20,0.75,0.6818181818181818,15,22,24,17
Q007,stable_baseline,stable_tau_local_high,20,0.85,1.0,17,17,27,27
Q008,stable_baseline,stable_tau_local_high,20,0.95,1.0,19,19,27,27
Q009,stable_baseline,stable_tau_local_high,20,0.9,1.0,18,18,29,29
Q010,stable_baseline,stable_tau_local_high,20,0.95,1.0,19,19,25,25
Q001,stable_baseline,stable_tau_local_low,20,0.9,1.0,18,18,26,26
Q002,stable_baseline,stable_tau_local_low,20,0.9,1.0,18,18,25,25
Q003,stable_baseline,stable_tau_local_low,20,0.95,1.0,19,19,28,28
Q004,stable_baseline,stable_tau_local_low,20,1.0,1.0,20,20,24,24
Q005,stable_baseline,stable_tau_local_low,20,0.8,0.6956521739130435,16,23,24,24
Q006,stable_baseline,stable_tau_local_low,20,1.0,1.0,20,20,24,24
Q007,stable_baseline,stable_tau_local_low,20,0.85,1.0,17,17,27,27
Q008,stable_baseline,stable_tau_local_low,20,0.95,1.0,19,19,27,27
Q009,stable_baseline,stable_tau_local_low,20,0.9,1.0,18,18,29,29
Q010,stable_baseline,stable_tau_local_low,20,0.95,1.0,19,19,25,25
Q001,stable_baseline,stable_text_only,20,0.5,0.38461538461538464,10,26,26,29
Q002,stable_baseline,stable_text_only,20,0.55,0.4074074074074074,11,27,25,28
Q003,stable_baseline,stable_text_only,20,0.5,0.3448275862068966,10,29,28,29
Q004,stable_baseline,stable_text_only,20,0.75,0.6,15,25,24,26
Q005,stable_baseline,stable_text_only,20,0.8,0.6666666666666666,16,24,24,26
Q006,stable_baseline,stable_text_only,20,0.65,0.48148148148148145,13,27,24,27
Q007,stable_baseline,stable_text_only,20,0.7,0.7,14,20,27,28
Q008,stable_baseline,stable_text_only,20,0.75,0.6521739130434783,15,23,27,28
Q009,stable_baseline,stable_text_only,20,0.75,0.7142857142857143,15,21,29,30
Q010,stable_baseline,stable_text_only,20,0.6,0.46153846153846156,12,26,25,26
Q001,stable_baseline,stable_type_high,20,0.9,1.0,18,18,26,26
Q002,stable_baseline,stable_type_high,20,0.9,1.0,18,18,25,25
Q003,stable_baseline,stable_type_high,20,0.9,0.9,18,20,28,28
Q004,stable_baseline,stable_type_high,20,1.0,1.0,20,20,24,24
Q005,stable_baseline,stable_type_high,20,0.95,0.9047619047619048,19,21,24,24
Q006,stable_baseline,stable_type_high,20,0.9,0.8181818181818182,18,22,24,25
Q007,stable_baseline,stable_type_high,20,0.8,0.8888888888888888,16,18,27,28
Q008,stable_baseline,stable_type_high,20,0.9,0.9,18,20,27,28
Q009,stable_baseline,stable_type_high,20,0.9,1.0,18,18,29,29
Q010,stable_baseline,stable_type_high,20,0.85,0.8095238095238095,17,21,25,25
